date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:17:45	483/483	---M--	200	added ('OK')	text/plain	etag:W/%221e3-Zvhxyb0e/s0tfh8v+u1GjxNb5Ww%22	https://leihui2008.wixsite.com/robots.txt		(from )
23:17:45	1390011/1390011	---MCZ	200	added ('OK')	text/html	etag:W/%22cb56101682f610527776af3c284610de%22	https://leihui2008.wixsite.com/tasteflow	C:/Myweb1/tasteflow/leihui2008.wixsite.com/tasteflow.html	(from )
23:17:46	137771/137771	---M-Z	200	added ('OK')	application/javascript	etag:W/%2218eb21e8d1074fd7a594d3748ba0cb33%22	https://static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	C:/Myweb1/tasteflow/static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	(from https://leihui2008.wixsite.com/tasteflow)
23:17:46	1171/1171	---M-Z	200	added ('OK')	application/javascript	etag:W/%22c187011c9a45c15a6fcbf5d62a5d755f%22	https://static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	C:/Myweb1/tasteflow/static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	(from https://leihui2008.wixsite.com/tasteflow)
23:17:46	65591/65591	---MCZ	200	added ('OK')	text/javascript	date:Thu,%2019%20Dec%202024%2015:17:46%20GMT	https://polyfill-fastly.io/v3/polyfill.min.js?features=fetch	C:/Myweb1/tasteflow/polyfill-fastly.io/v3/polyfill.mind82c.js	(from https://leihui2008.wixsite.com/tasteflow)
23:17:48	1189329/1189329	---MCZ	200	added ('OK')	text/html	etag:W/%2232056f1d7ea8b717efc07675985128cb%22	https://leihui2008.wixsite.com/tasteflow/about-us	C:/Myweb1/tasteflow/leihui2008.wixsite.com/tasteflow/about-us.html	(from https://leihui2008.wixsite.com/tasteflow)
23:17:50	1166427/1166427	---MCZ	200	added ('OK')	text/html	etag:W/%22930c1cfbe7244b874cb4783147954989%22	https://leihui2008.wixsite.com/tasteflow/menu	C:/Myweb1/tasteflow/leihui2008.wixsite.com/tasteflow/menu.html	(from https://leihui2008.wixsite.com/tasteflow)
23:17:51	1171530/1171530	---MCZ	200	added ('OK')	text/html	etag:W/%2234e43c372ea05b170493c09257d4274d%22	https://leihui2008.wixsite.com/tasteflow/customer-support	C:/Myweb1/tasteflow/leihui2008.wixsite.com/tasteflow/customer-support.html	(from https://leihui2008.wixsite.com/tasteflow)
23:17:52	1175020/1175020	---MCZ	200	added ('OK')	text/html	etag:W/%22cbcdd7d841b13593386a4339a2d60761%22	https://leihui2008.wixsite.com/tasteflow/news-blog	C:/Myweb1/tasteflow/leihui2008.wixsite.com/tasteflow/news-blog.html	(from https://leihui2008.wixsite.com/tasteflow)
23:17:54	4128/4128	---M--	200	added ('OK')	image/png	date:Thu,%2019%20Dec%202024%2015:17:54%20GMT	https://static.wixstatic.com/media/d6be07_c8bb1ceff43c472d83aa095485f4ec2c~mv2.png/v1/fill/w_49,h_28,al_c,q_85,usm_0.66_1.00_0.01,blur_2,enc_avif,quality_auto/d6be07_c8bb1ceff43c472d83aa095485f4ec2c~mv2.png	C:/Myweb1/tasteflow/static.wixstatic.com/media/d6be07_c8bb1ceff43c472d83aa095485f4ec2c_mv2.png/v1/fill/w_49,h_28,al_c,q_85,usm_0.66_1.00_0.01,blur_2,enc_avif,quality_auto/d6be07_c8bb1ceff43c472d83aa095485f4ec2c_mv2.png	(from https://leihui2008.wixsite.com/tasteflow)
23:17:54	1166903/1166903	---MCZ	200	added ('OK')	text/html	etag:W/%2207229ddf3fe8931ed55ca8f5e3037201%22	https://leihui2008.wixsite.com/tasteflow/careers	C:/Myweb1/tasteflow/leihui2008.wixsite.com/tasteflow/careers.html	(from https://leihui2008.wixsite.com/tasteflow)
23:17:54	3735/3735	---M--	200	added ('OK')	image/jpeg	date:Thu,%2019%20Dec%202024%2015:17:54%20GMT	https://static.wixstatic.com/media/11062b_d86a12c9f109497da61e9f9cb1d36970~mv2.jpg/v1/fill/w_270,h_111,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_avif,quality_auto/11062b_d86a12c9f109497da61e9f9cb1d36970~mv2.jpg	C:/Myweb1/tasteflow/static.wixstatic.com/media/11062b_d86a12c9f109497da61e9f9cb1d36970_mv2.jpg/v1/fill/w_270,h_111,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_avif,quality_auto/11062b_d86a12c9f109497da61e9f9cb1d36970_mv2.jpg	(from https://leihui2008.wixsite.com/tasteflow)
23:17:55	36084/36084	---M--	200	added ('OK')	image/png	date:Thu,%2019%20Dec%202024%2015:17:55%20GMT	https://static.wixstatic.com/media/c837a6_9acef8c60e2a440ca5eebc131e2af90a~mv2.png/v1/fill/w_194,h_190,al_c,q_85,usm_0.66_1.00_0.01,blur_3,enc_avif,quality_auto/Untitled-2-01%201.png	C:/Myweb1/tasteflow/static.wixstatic.com/media/c837a6_9acef8c60e2a440ca5eebc131e2af90a_mv2.png/v1/fill/w_194,h_190,al_c,q_85,usm_0.66_1.00_0.01,blur_3,enc_avif,quality_auto/Untitled-2-01%201.png	(from https://leihui2008.wixsite.com/tasteflow)
23:17:55	2930024/2930024	---M--	200	added ('OK')	image/jpeg	etag:%221bb2a2a51b5bc2d3861719f7078d844b%22	https://wixmp-19e700b7666f74a00729a0dd.wixmp.com/Instagram/Asian_Restaurant_(The_Noodle_Way)/01.jpg	C:/Myweb1/tasteflow/wixmp-19e700b7666f74a00729a0dd.wixmp.com/Instagram/Asian_Restaurant_(The_Noodle_Way)/01.jpg	(from https://leihui2008.wixsite.com/tasteflow)
